condition,pw_scale,reweighted,seed,accuracy,true_precision,true_recall,true_f1,false_precision,false_recall,false_f1,uncertain_precision,uncertain_recall,uncertain_f1,pred_true,pred_false,pred_uncertain,pred_invalid,n_total
FOLIO,0,False,123,68.96551724137932,0.7105263157894737,0.75,0.7297297297297297,0.65,0.6290322580645161,0.639344262295082,0.7014925373134329,0.6811594202898551,0.6911764705882353,76,60,67,0,203
FOLIO,0,False,42,67.48768472906403,0.7,0.7777777777777778,0.7368421052631579,0.6470588235294118,0.532258064516129,0.584070796460177,0.6666666666666666,0.6956521739130435,0.6808510638297872,80,51,72,0,203
FOLIO,0,False,7,66.50246305418719,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6,0.6290322580645161,0.6141732283464567,0.6818181818181818,0.6521739130434783,0.6666666666666666,72,65,66,0,203
PW-2k,2000,False,123,69.45812807881774,0.7236842105263158,0.7638888888888888,0.7432432432432432,0.66,0.532258064516129,0.5892857142857143,0.6883116883116883,0.7681159420289855,0.726027397260274,76,50,77,0,203
PW-2k,2000,False,42,70.93596059113301,0.7349397590361446,0.8472222222222222,0.7870967741935484,0.7,0.5645161290322581,0.625,0.6857142857142857,0.6956521739130435,0.6906474820143885,83,50,70,0,203
PW-2k,2000,False,7,69.95073891625616,0.7088607594936709,0.7777777777777778,0.7417218543046358,0.6666666666666666,0.5806451612903226,0.6206896551724138,0.7142857142857143,0.7246376811594203,0.7194244604316546,79,54,70,0,203
PW-2k-rebal,2000,True,123,66.00985221674877,0.6865671641791045,0.6388888888888888,0.6618705035971223,0.7073170731707317,0.46774193548387094,0.5631067961165048,0.6210526315789474,0.855072463768116,0.7195121951219512,67,41,95,0,203
PW-2k-rebal,2000,True,42,71.42857142857143,0.7605633802816901,0.75,0.7552447552447552,0.8611111111111112,0.5,0.6326530612244898,0.625,0.8695652173913043,0.7272727272727273,71,36,96,0,203
PW-2k-rebal,2000,True,7,68.4729064039409,0.7428571428571429,0.7222222222222222,0.7323943661971831,0.7777777777777778,0.45161290322580644,0.5714285714285714,0.6082474226804123,0.855072463768116,0.7108433734939759,70,36,97,0,203
PW-5k,5000,False,123,68.4729064039409,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.6166666666666667,0.5967741935483871,0.6065573770491803,0.6619718309859155,0.6811594202898551,0.6714285714285714,72,60,71,0,203
PW-5k,5000,False,42,71.92118226600985,0.7195121951219512,0.8194444444444444,0.7662337662337663,0.7291666666666666,0.5645161290322581,0.6363636363636364,0.7123287671232876,0.7536231884057971,0.7323943661971831,82,48,73,0,203
PW-5k,5000,False,7,69.95073891625616,0.7571428571428571,0.7361111111111112,0.7464788732394366,0.6440677966101694,0.6129032258064516,0.628099173553719,0.6891891891891891,0.7391304347826086,0.7132867132867133,70,59,74,0,203
PW-10k,10000,False,123,66.99507389162561,0.7105263157894737,0.75,0.7297297297297297,0.631578947368421,0.5806451612903226,0.6050420168067226,0.6571428571428571,0.6666666666666666,0.6618705035971223,76,57,70,0,203
PW-10k,10000,False,42,66.99507389162561,0.7272727272727273,0.7777777777777778,0.7516778523489933,0.64,0.5161290322580645,0.5714285714285714,0.631578947368421,0.6956521739130435,0.6620689655172414,77,50,76,0,203
PW-10k,10000,False,7,69.95073891625616,0.7662337662337663,0.8194444444444444,0.7919463087248322,0.6730769230769231,0.5645161290322581,0.6140350877192983,0.6486486486486487,0.6956521739130435,0.6713286713286714,77,52,74,0,203
PW-20k,20000,False,42,66.00985221674877,0.7105263157894737,0.75,0.7297297297297297,0.6818181818181818,0.4838709677419355,0.5660377358490566,0.6024096385542169,0.7246376811594203,0.6578947368421053,76,44,83,0,203
